factor,atr_period,order_size,dema_length,0_cumulative_return,0_max_drawdown,0_sharpe_ratio,0_annual volatility,0_annualized_return,0_calmar,0_number_of_transactions,1_cumulative_return,1_max_drawdown,1_sharpe_ratio,1_annual volatility,1_annualized_return,1_calmar,1_number_of_transactions,2_cumulative_return,2_max_drawdown,2_sharpe_ratio,2_annual volatility,2_annualized_return,2_calmar,2_number_of_transactions,3_cumulative_return,3_max_drawdown,3_sharpe_ratio,3_annual volatility,3_annualized_return,3_calmar,3_number_of_transactions,4_cumulative_return,4_max_drawdown,4_sharpe_ratio,4_annual volatility,4_annualized_return,4_calmar,4_number_of_transactions
1.5,6,70,676,1.5178,0.2476,1.5638,0.1216,1.9409,1.7967,73,1.7032,0.3596,1.6794,0.1474,2.331,1.6104,76,1.4322,0.1634,1.2062,0.1425,1.7699,2.4594,82,0.8544,0.388,-0.4248,0.1268,0.7787,-0.3247,102,0.8691,0.3332,-0.5795,0.0947,0.8002,-0.3851,85
1.5,6,75,30,1.6768,0.3999,1.5384,0.1593,2.2738,1.4333,66,1.1872,0.4077,0.5757,0.1954,1.3136,0.6453,76,1.4208,0.2645,0.9681,0.1958,1.7475,1.6753,75,0.5934,0.5301,-1.2091,0.1632,0.4363,-0.8707,95,0.8064,0.3467,-0.6443,0.1234,0.7106,-0.5367,84
1.5,6,75,60,1.6887,0.3768,1.575,0.157,2.2995,1.5344,74,1.1886,0.3553,0.5825,0.1892,1.3159,0.7255,85,1.3851,0.2358,0.9247,0.1907,1.6783,1.7489,89,0.6828,0.4151,-0.8887,0.1571,0.5453,-0.7867,104,0.9915,0.2829,0.0592,0.1168,0.9865,0.0572,90
1.5,6,75,100,1.6483,0.4331,1.561,0.1502,2.2128,1.2657,80,1.43,0.2489,1.0303,0.1797,1.7655,1.7389,88,1.1806,0.2985,0.5737,0.1804,1.302,0.8109,95,0.6937,0.4364,-0.8787,0.153,0.5592,-0.7202,109,1.0639,0.2973,0.3179,0.1148,1.1034,0.2871,90
1.5,6,75,120,1.5201,0.457,1.3737,0.1439,1.9455,1.0118,81,1.2899,0.3282,0.8044,0.1712,1.4987,0.9812,90,1.1714,0.3009,0.5561,0.179,1.2859,0.7738,95,0.6787,0.4224,-0.9618,0.1504,0.5401,-0.8008,109,1.0041,0.2772,0.1019,0.1144,1.0065,0.0984,95
1.5,6,75,144,1.6063,0.4182,1.5636,0.1409,2.1237,1.2318,80,1.5144,0.352,1.2231,0.1675,1.934,1.3608,90,1.2236,0.2923,0.6656,0.1751,1.3781,0.9325,91,0.6598,0.4594,-1.0413,0.1505,0.5164,-0.7977,110,1.0483,0.2714,0.2629,0.1111,1.0778,0.2517,95
1.5,6,75,169,1.4504,0.3851,1.2569,0.1404,1.8056,1.0717,83,1.5943,0.3484,1.3504,0.1682,2.0987,1.5247,89,1.2595,0.3015,0.7449,0.1706,1.4428,0.9858,92,0.725,0.4064,-0.799,0.1472,0.5998,-0.6765,108,0.9852,0.3057,0.0235,0.1109,0.9766,0.02,96
1.5,6,75,252,1.6855,0.3748,1.7704,0.135,2.2926,1.4911,74,1.2159,0.5053,0.6622,0.1679,1.3643,0.5144,89,1.2435,0.2761,0.7164,0.1689,1.4139,1.0247,87,0.7853,0.4015,-0.5798,0.1451,0.681,-0.49,105,1.1125,0.1919,0.5021,0.1064,1.1846,0.6515,90
1.5,6,75,576,1.5604,0.3082,1.5798,0.1293,2.0281,1.5497,75,1.402,0.4467,1.0404,0.1636,1.7109,0.8911,83,1.6293,0.1761,1.4902,0.1553,2.1724,3.0727,81,0.8317,0.4242,-0.4511,0.1376,0.7461,-0.3421,100,0.9547,0.3247,-0.1368,0.0995,0.929,-0.0981,86
1.5,6,75,676,1.5568,0.2693,1.5683,0.1297,2.0208,1.766,73,1.7614,0.3965,1.6861,0.1575,2.4589,1.5662,76,1.4647,0.175,1.2136,0.1523,1.834,2.4693,82,0.8423,0.4149,-0.4221,0.1357,0.7613,-0.3227,102,0.8589,0.3542,-0.5767,0.1012,0.7854,-0.3856,85
